Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,PR_AUC
ensemble,0.9181818181818182,0.9175000000000001,0.9181818181818182,0.9170154686078252,0.9767807949626132,0.9268894394280688
xgboost,0.9,0.8988566761943649,0.9,0.8990785256410256,0.9738292011019284,0.908143950665457
random_forest,0.8727272727272727,0.8834670947030497,0.8727272727272727,0.863186077643909,0.9180440771349861,0.857925414350569
